Delivery_ID,Order_ID,City,Warehouse_ID,Rider_ID,Distance_km,Delivery_Time_hr,Delay_Days,SLA_Met,Fuel_Cost,Traffic_Level,Delivery_Status,Delivery_Month
DEL00001,ORD002174,Mumbai,WH-KOL,RID036,15.4,2.4,0,Yes,57.33,Medium,Delivered,2026-05
DEL00002,ORD005996,Bengaluru,WH-DEL,RID039,10.0,2.48,2,No,53.6,Medium,Delivered,2026-07
DEL00003,ORD006433,Kolkata,WH-BLR,RID004,6.5,0.5,0,Yes,24.86,Medium,Delivered,2026-04
DEL00004,ORD010020,Pune,WH-BLR,RID033,390.9,18.92,0,Yes,1934.72,Medium,Delivered,2026-03
DEL00005,ORD005283,Chennai,WH-MUM,RID033,1771.0,72.0,0,Yes,9053.21,Medium,Delivered,2026-03
DEL00006,ORD001806,Bengaluru,WH-MUM,RID002,17.5,3.32,0,Yes,74.28,High,Delivered,2026-03
DEL00007,ORD001182,Ahmedabad,WH-MUM,RID013,697.4,29.51,0,Yes,3744.28,Medium,RTO,2026-05
DEL00008,ORD009717,Delhi,WH-KOL,RID011,5.4,1.88,0,Yes,23.43,High,Delivered,2026-03
DEL00009,ORD007836,Ahmedabad,WH-BLR,RID007,702.3,29.05,1,No,2891.54,Medium,Delivered,2026-02
DEL00010,ORD008978,Chennai,WH-BLR,RID035,997.7,43.47,2,No,4916.97,High,Delivered,2026-02
DEL00011,ORD008991,Chennai,WH-BLR,RID033,1340.7,54.29,1,No,5617.39,Low,Delivered,2026-03
DEL00012,ORD010782,Delhi,WH-KOL,RID023,5.3,3.15,0,Yes,26.35,Low,Delivered,2026-04
DEL00013,ORD005167,Kolkata,WH-BLR,RID005,13.7,2.08,1,No,54.41,High,Delivered,2026-08
DEL00014,ORD003913,Delhi,WH-MUM,RID001,7.1,3.63,0,Yes,28.23,High,Delivered,2026-07
DEL00015,ORD009125,Bengaluru,WH-DEL,RID020,12.1,3.15,0,Yes,51.04,High,Delivered,2026-05
DEL00016,ORD011165,Mumbai,WH-BLR,RID024,13.1,3.41,0,Yes,63.46,Medium,Delivered,2026-06
DEL00017,ORD000126,Mumbai,WH-BLR,RID003,6.5,2.43,0,Yes,34.79,Medium,Delivered,2026-03
DEL00018,ORD001881,Pune,WH-DEL,RID014,209.1,12.03,0,Yes,1053.2,Low,Delivered,2026-02
DEL00019,ORD010730,Bengaluru,WH-BLR,RID024,13.8,0.93,0,Yes,58.08,Medium,Delivered Late,2026-06
DEL00020,ORD005616,Delhi,WH-MUM,RID012,8.8,0.62,0,Yes,38.3,High,Delivered,2026-03
DEL00021,ORD004053,Ahmedabad,WH-MUM,RID004,244.8,10.25,0,Yes,1107.75,Medium,Delivered,2026-02
DEL00022,ORD011276,Pune,WH-MUM,RID001,465.2,20.14,1,No,1695.67,High,Delivered,2026-02
DEL00023,ORD005966,Chennai,WH-BLR,RID002,1678.7,68.43,0,Yes,7543.18,High,Delivered,2026-04
DEL00024,ORD003379,Kolkata,WH-MUM,RID009,8.9,1.82,0,Yes,39.55,Medium,Delivered,2026-02
DEL00025,ORD006794,Hyderabad,WH-BLR,RID032,353.6,17.8,0,Yes,1661.53,Medium,Delivered,2026-05
DEL00026,ORD008540,Hyderabad,WH-KOL,RID014,534.9,22.78,0,Yes,2763.74,Low,Delivered,2026-05
DEL00027,ORD003853,Bengaluru,WH-MUM,RID034,13.8,3.47,1,No,73.9,Low,Delivered,2026-07
DEL00028,ORD010040,Hyderabad,WH-DEL,RID032,216.4,10.74,0,Yes,1140.97,Medium,Delivered,2026-07
DEL00029,ORD003676,Pune,WH-MUM,RID026,190.9,10.73,0,Yes,876.29,High,Delivered,2026-07
DEL00030,ORD007937,Delhi,WH-BLR,RID029,15.3,2.99,0,Yes,82.4,Low,Delivered,2026-06
