Exception_ID,Order_ID,Exception_Type,Exception_Date,Owner,Status,Action_Taken
EXC0001,ORD003281,Cancelled Order,2026-03-27,Logistics,Open,Pending Investigation
EXC0002,ORD008487,Cancelled Order,2026-04-11,Finance,In Progress,Reshipped
EXC0003,ORD007264,Cancelled Order,2026-04-02,Finance,In Progress,Refund Issued
EXC0004,ORD009964,Address Issue,2026-06-12,Finance,Resolved,Escalated to Hub
EXC0005,ORD004215,Wrong Item,2026-03-17,Finance,Open,Pending Investigation
EXC0006,ORD000963,Address Issue,2026-05-09,FC Ops,Resolved,Seller Notified
EXC0007,ORD001407,Delayed Shipment,2026-03-31,Finance,Resolved,Seller Notified
EXC0008,ORD002512,Delayed Shipment,2026-02-24,Seller Mgmt,Resolved,Stock Corrected
EXC0009,ORD002459,Inventory Mismatch,2026-03-16,Finance,Open,Pending Investigation
EXC0010,ORD010958,Payment Failure,2026-07-12,Seller Mgmt,Resolved,Reshipped
EXC0011,ORD004824,Delayed Shipment,2026-03-11,Seller Mgmt,Resolved,Reshipped
EXC0012,ORD009151,Wrong Item,2026-05-22,Seller Mgmt,Resolved,Address Updated
EXC0013,ORD008200,Late Dispatch,2026-06-15,Customer Support,Resolved,Refund Issued
EXC0014,ORD010834,Delayed Shipment,2026-04-25,Seller Mgmt,In Progress,Refund Issued
EXC0015,ORD010514,Late Dispatch,2026-05-17,Seller Mgmt,Open,Pending Investigation
EXC0016,ORD010633,Late Dispatch,2026-06-10,Finance,Open,Pending Investigation
EXC0017,ORD000540,Late Dispatch,2026-06-17,FC Ops,Resolved,Reshipped
EXC0018,ORD002700,Address Issue,2026-05-04,Logistics,Open,Pending Investigation
EXC0019,ORD008909,Delayed Shipment,2026-04-20,Customer Support,Resolved,Seller Notified
EXC0020,ORD007889,Address Issue,2026-07-12,FC Ops,In Progress,Seller Notified
EXC0021,ORD009143,Delayed Shipment,2026-07-16,Seller Mgmt,In Progress,Refund Issued
EXC0022,ORD000786,Cancelled Order,2026-03-05,Logistics,Open,Pending Investigation
EXC0023,ORD000277,Delayed Shipment,2026-04-28,FC Ops,Resolved,Seller Notified
EXC0024,ORD000038,Wrong Item,2026-04-16,Logistics,In Progress,Address Updated
EXC0025,ORD006992,Late Dispatch,2026-02-21,FC Ops,Resolved,Seller Notified
EXC0026,ORD004228,Address Issue,2026-04-16,Finance,Resolved,Pending Investigation
EXC0027,ORD005735,Inventory Mismatch,2026-06-04,Finance,Resolved,Escalated to Hub
EXC0028,ORD002197,Late Dispatch,2026-06-02,Logistics,Resolved,Refund Issued
EXC0029,ORD000010,Payment Failure,2026-06-03,Logistics,Resolved,Stock Corrected
EXC0030,ORD010692,Delayed Shipment,2026-04-22,Finance,Open,Pending Investigation
EXC0031,ORD008447,Cancelled Order,2026-04-18,FC Ops,Open,Pending Investigation
EXC0032,ORD007981,Cancelled Order,2026-03-04,Customer Support,Resolved,Address Updated
EXC0033,ORD009323,Address Issue,2026-04-02,Finance,Resolved,Customer Contacted
EXC0034,ORD008057,Wrong Item,2026-06-30,Finance,Resolved,Escalated to Hub
EXC0035,ORD005501,Inventory Mismatch,2026-05-14,Seller Mgmt,Resolved,Stock Corrected
EXC0036,ORD002182,Late Dispatch,2026-04-11,Finance,Resolved,Seller Notified
EXC0037,ORD007266,Cancelled Order,2026-03-24,Finance,In Progress,Customer Contacted
EXC0038,ORD008805,Cancelled Order,2026-05-30,Seller Mgmt,Resolved,Reshipped
EXC0039,ORD003501,Delayed Shipment,2026-05-25,Customer Support,In Progress,Reshipped
EXC0040,ORD008629,Delayed Shipment,2026-03-29,Finance,Resolved,Address Updated
EXC0041,ORD004956,Late Dispatch,2026-06-05,Seller Mgmt,Resolved,Reshipped
EXC0042,ORD007652,Cancelled Order,2026-03-26,Seller Mgmt,Resolved,Customer Contacted
EXC0043,ORD005254,Delayed Shipment,2026-04-28,Seller Mgmt,In Progress,Customer Contacted
EXC0044,ORD006218,Wrong Item,2026-02-12,FC Ops,Resolved,Escalated to Hub
EXC0045,ORD007517,Cancelled Order,2026-05-31,Logistics,Open,Pending Investigation
EXC0046,ORD002150,Payment Failure,2026-04-05,Logistics,Open,Pending Investigation
EXC0047,ORD007329,Delayed Shipment,2026-04-10,FC Ops,Open,Pending Investigation
EXC0048,ORD008871,Wrong Item,2026-03-24,Seller Mgmt,In Progress,Refund Issued
