Txn_ID,Txn_Date,SKU,Warehouse_ID,Txn_Type,Quantity,Unit_Cost
INV00001,2026-02-22,SKU00141,WH-BLR,Inbound,174,1331.57
INV00002,2026-04-30,SKU00227,WH-MUM,Outbound,32,155.78
INV00003,2026-04-13,SKU00039,WH-MUM,Inbound,559,9834.23
INV00004,2026-06-04,SKU00033,WH-KOL,Inbound,249,1276.72
INV00005,2026-05-26,SKU00144,WH-BLR,Inbound,221,875.3
INV00006,2026-06-26,SKU00475,WH-BLR,Outbound,19,6589.98
INV00007,2026-07-13,SKU00138,WH-MUM,Outbound,18,9387.59
INV00008,2026-02-05,SKU00080,WH-KOL,Outbound,32,6023.78
INV00009,2026-06-20,SKU00491,WH-MUM,Outbound,30,3122.09
INV00010,2026-07-26,SKU00410,WH-KOL,Outbound,18,1875.94
INV00011,2026-06-18,SKU00291,WH-DEL,Inbound,636,9410.52
INV00012,2026-07-30,SKU00399,WH-DEL,Outbound,21,6880.47
INV00013,2026-05-17,SKU00349,WH-DEL,Outbound,6,7214.46
INV00014,2026-02-23,SKU00402,WH-MUM,Inbound,469,1387.1
INV00015,2026-04-18,SKU00396,WH-BLR,Outbound,17,5350.41
INV00016,2026-03-22,SKU00343,WH-MUM,Outbound,50,2347.38
INV00017,2026-07-17,SKU00316,WH-MUM,Outbound,27,2498.51
INV00018,2026-07-28,SKU00076,WH-MUM,Inbound,94,2157.69
INV00019,2026-02-07,SKU00144,WH-BLR,Outbound,50,875.3
INV00020,2026-03-27,SKU00120,WH-KOL,Outbound,25,3821.05
INV00021,2026-02-06,SKU00294,WH-BLR,Inbound,537,1140.9
INV00022,2026-07-09,SKU00188,WH-DEL,Outbound,28,5522.04
INV00023,2026-07-06,SKU00013,WH-MUM,Inbound,455,1784.82
INV00024,2026-02-13,SKU00315,WH-BLR,Inbound,377,1700.11
INV00025,2026-07-09,SKU00197,WH-MUM,Inbound,71,4238.42
INV00026,2026-02-13,SKU00228,WH-BLR,Inbound,146,5278.75
INV00027,2026-03-16,SKU00063,WH-MUM,Outbound,53,10724.93
INV00028,2026-03-14,SKU00348,WH-BLR,Inbound,58,9937.94
INV00029,2026-04-28,SKU00019,WH-KOL,Inbound,307,9568.66
INV00030,2026-06-03,SKU00184,WH-KOL,Outbound,9,748.55
INV00031,2026-03-25,SKU00313,WH-KOL,Inbound,411,1079.2
