Return_ID,Order_ID,SKU,Seller_ID,Warehouse_ID,Return_Reason,Return_Date,Refund_Amount,Resolution_Time_hrs,Return_Category
RET00001,ORD007806,SKU00260,SEL0138,WH-MUM,Wrong Item Delivered,2026-03-02,5969.38,118,Seller Fault
RET00002,ORD001918,SKU00075,SEL0088,WH-MUM,Product Defective,2026-07-03,4274.56,88,Seller Fault
RET00003,ORD001735,SKU00385,SEL0126,WH-DEL,Quality Not as Expected,2026-05-01,3511.43,8,Customer Preference
RET00004,ORD009627,SKU00030,SEL0011,WH-BLR,Size Issue,2026-08-06,3340.08,104,Customer Preference
RET00005,ORD007011,SKU00211,SEL0022,WH-MUM,Product Defective,2026-06-03,2124.51,48,Seller Fault
RET00006,ORD002208,SKU00462,SEL0011,WH-BLR,Wrong Item Delivered,2026-03-25,1474.06,117,Seller Fault
RET00007,ORD005627,SKU00021,SEL0137,WH-BLR,Damaged Product,2026-06-19,1777.58,71,Seller Fault
RET00008,ORD008383,SKU00162,SEL0005,WH-BLR,Wrong Item Delivered,2026-03-30,9058.8,47,Seller Fault
RET00009,ORD007458,SKU00108,SEL0028,WH-DEL,Late Delivery,2026-06-24,11427.67,60,Logistics Fault
RET00010,ORD001044,SKU00159,SEL0093,WH-MUM,Changed Mind,2026-06-06,1741.73,9,Customer Preference
RET00011,ORD007102,SKU00278,SEL0123,WH-MUM,Damaged Product,2026-08-06,8585.05,22,Seller Fault
RET00012,ORD010903,SKU00498,SEL0083,WH-KOL,Wrong Item Delivered,2026-05-19,1017.65,87,Seller Fault
RET00013,ORD005456,SKU00339,SEL0041,WH-KOL,Damaged Product,2026-07-28,476.06,105,Seller Fault
RET00014,ORD010100,SKU00047,SEL0098,WH-MUM,Size Issue,2026-04-05,13332.56,90,Customer Preference
RET00015,ORD009083,SKU00137,SEL0128,WH-DEL,Wrong Item Delivered,2026-04-02,3276.31,96,Seller Fault
RET00016,ORD003978,SKU00066,SEL0123,WH-MUM,Changed Mind,2026-07-12,14174.58,52,Customer Preference
RET00017,ORD004565,SKU00189,SEL0090,WH-MUM,Product Defective,2026-05-31,3424.98,113,Seller Fault
RET00018,ORD003255,SKU00284,SEL0132,WH-DEL,Product Defective,2026-03-27,7189.98,103,Seller Fault
RET00019,ORD010213,SKU00482,SEL0056,WH-MUM,Quality Not as Expected,2026-03-11,4736.3,71,Customer Preference
RET00020,ORD010191,SKU00052,SEL0132,WH-DEL,Damaged Product,2026-02-04,1787.46,27,Seller Fault
RET00021,ORD003867,SKU00283,SEL0101,WH-MUM,Damaged Product,2026-04-24,29201.64,11,Seller Fault
RET00022,ORD007432,SKU00241,SEL0002,WH-MUM,Size Issue,2026-02-28,3137.67,89,Customer Preference
RET00023,ORD007444,SKU00100,SEL0145,WH-BLR,Quality Not as Expected,2026-07-16,6387.78,55,Customer Preference
RET00024,ORD010404,SKU00444,SEL0065,WH-DEL,Damaged Product,2026-05-14,6608.69,51,Seller Fault
RET00025,ORD000581,SKU00386,SEL0076,WH-KOL,Damaged Product,2026-02-27,4028.26,6,Seller Fault
RET00026,ORD005572,SKU00225,SEL0029,WH-MUM,Damaged Product,2026-02-24,21036.42,55,Seller Fault
RET00027,ORD007190,SKU00403,SEL0024,WH-MUM,Late Delivery,2026-02-22,6860.29,94,Logistics Fault
RET00028,ORD007234,SKU00450,SEL0121,WH-MUM,Wrong Item Delivered,2026-05-27,30253.95,89,Seller Fault
RET00029,ORD000607,SKU00089,SEL0025,WH-MUM,Product Defective,2026-05-20,5287.32,63,Seller Fault
RET00030,ORD002645,SKU00441,SEL0024,WH-MUM,Product Defective,2026-03-10,22682.34,63,Seller Fault
RET00031,ORD005816,SKU00296,SEL0039,WH-MUM,Size Issue,2026-04-23,402.64,73,Customer Preference
RET00032,ORD006784,SKU00296,SEL0039,WH-MUM,Changed Mind,2026-03-02,402.64,5,Customer Preference
RET00033,ORD010872,SKU00356,SEL0024,WH-MUM,Size Issue,2026-02-27,28666.2,68,Customer Preference
RET00034,ORD006563,SKU00232,SEL0088,WH-MUM,Late Delivery,2026-07-31,2516.34,27,Logistics Fault
RET00035,ORD010934,SKU00466,SEL0065,WH-DEL,Wrong Item Delivered,2026-04-14,41743.17,110,Seller Fault
RET00036,ORD009891,SKU00405,SEL0082,WH-MUM,Quality Not as Expected,2026-02-28,2344.56,20,Customer Preference
RET00037,ORD003821,SKU00254,SEL0123,WH-MUM,Product Defective,2026-06-03,14036.59,110,Seller Fault
RET00038,ORD002484,SKU00055,SEL0097,WH-MUM,Changed Mind,2026-04-20,963.61,98,Customer Preference
RET00039,ORD003341,SKU00301,SEL0006,WH-MUM,Damaged Product,2026-06-26,3623.88,67,Seller Fault
RET00040,ORD009888,SKU00441,SEL0024,WH-MUM,Damaged Product,2026-07-22,11341.17,20,Seller Fault
RET00041,ORD002990,SKU00089,SEL0025,WH-MUM,Better Price Found,2026-06-08,3524.88,37,Customer Preference
RET00042,ORD007639,SKU00245,SEL0030,WH-BLR,Size Issue,2026-05-05,1921.29,24,Customer Preference
RET00043,ORD006505,SKU00088,SEL0001,WH-BLR,Wrong Item Delivered,2026-03-01,3988.41,29,Seller Fault
RET00044,ORD008115,SKU00197,SEL0040,WH-MUM,Quality Not as Expected,2026-06-02,12482.48,12,Customer Preference
RET00045,ORD010897,SKU00402,SEL0079,WH-MUM,Size Issue,2026-04-06,1832.95,56,Customer Preference
RET00046,ORD002355,SKU00106,SEL0094,WH-BLR,Changed Mind,2026-02-12,8616.99,21,Customer Preference
RET00047,ORD006276,SKU00151,SEL0014,WH-BLR,Quality Not as Expected,2026-05-27,4450.98,37,Customer Preference
RET00048,ORD003082,SKU00060,SEL0076,WH-KOL,Changed Mind,2026-05-27,5265.24,84,Customer Preference
RET00049,ORD007480,SKU00388,SEL0099,WH-KOL,Product Defective,2026-07-10,5323.86,75,Seller Fault
RET00050,ORD006813,SKU00477,SEL0039,WH-MUM,Quality Not as Expected,2026-08-13,919.78,98,Customer Preference
RET00051,ORD004651,SKU00297,SEL0104,WH-BLR,Late Delivery,2026-06-09,4306.82,30,Logistics Fault
RET00052,ORD003381,SKU00387,SEL0035,WH-MUM,Quality Not as Expected,2026-06-28,4650.54,58,Customer Preference
RET00053,ORD009581,SKU00172,SEL0002,WH-MUM,Product Defective,2026-04-20,9492.66,20,Seller Fault
RET00054,ORD011286,SKU00499,SEL0016,WH-BLR,Quality Not as Expected,2026-06-19,2425.5,67,Customer Preference
RET00055,ORD010526,SKU00293,SEL0105,WH-BLR,Size Issue,2026-07-08,1929.55,95,Customer Preference
RET00056,ORD005120,SKU00220,SEL0040,WH-MUM,Better Price Found,2026-03-12,6144.35,84,Customer Preference
RET00057,ORD000140,SKU00101,SEL0142,WH-KOL,Quality Not as Expected,2026-04-21,5581.32,96,Customer Preference
