Seller_ID,Seller_Name,Seller_Category,Seller_City,Fulfillment_Type,Seller_Rating,Monthly_Order_Target,Warehouse_Assigned,Onboarded_On
SEL0001,Shree Retail,Grocery,Bengaluru,Marketplace Managed,4.25,682,WH-BLR,2022-11-15
SEL0002,Om Mart,Beauty,Pune,Flipkart Fulfilled,4.5,361,WH-MUM,2025-11-22
SEL0003,Sai Emporium,Sports,Delhi,Seller Fulfilled,3.68,834,WH-DEL,2022-07-06
SEL0004,Krishna Commerce,Home,Ahmedabad,Seller Fulfilled,4.05,583,WH-DEL,2023-01-03
SEL0005,Global Retail,Electronics,Chennai,Flipkart Fulfilled,4.69,313,WH-BLR,2023-01-04
SEL0006,National Mart,Books,Mumbai,Flipkart Fulfilled,3.8,29,WH-MUM,2024-05-16
SEL0007,Metro Emporium,Grocery,Bengaluru,Flipkart Fulfilled,3.77,613,WH-BLR,2022-10-07
SEL0008,Prime Commerce,Grocery,Chennai,Marketplace Managed,4.18,203,WH-BLR,2024-06-02
SEL0009,Star Retail,Electronics,Bengaluru,Seller Fulfilled,4.44,685,WH-BLR,2025-09-24
SEL0010,Royal Mart,Beauty,Delhi,Marketplace Managed,4.1,482,WH-DEL,2022-05-06
SEL0011,Sunrise Emporium,Fashion,Kolkata,Seller Fulfilled,4.63,430,WH-BLR,2024-12-31
SEL0012,Elite Commerce,Books,Kolkata,Seller Fulfilled,4.44,164,WH-KOL,2025-07-10
SEL0013,Unity Retail,Home,Delhi,Seller Fulfilled,4.44,646,WH-MUM,2023-06-22
SEL0014,Value Mart,Sports,Bengaluru,Flipkart Fulfilled,4.32,165,WH-BLR,2025-01-01
SEL0015,Zenith Emporium,Beauty,Mumbai,Flipkart Fulfilled,5.0,387,WH-MUM,2022-07-17
SEL0016,Apex Commerce,Fashion,Kolkata,Seller Fulfilled,4.02,755,WH-BLR,2024-03-04
SEL0017,Shree Retail,Home,Kolkata,Seller Fulfilled,3.3,829,WH-BLR,2025-11-27
SEL0018,Om Mart,Electronics,Kolkata,Flipkart Fulfilled,4.74,890,WH-KOL,2022-03-04
SEL0019,Sai Emporium,Sports,Ahmedabad,Seller Fulfilled,3.92,863,WH-KOL,2023-11-23
SEL0020,Krishna Commerce,Home,Pune,Seller Fulfilled,4.14,509,WH-BLR,2024-11-20
SEL0021,Global Retail,Grocery,Bengaluru,Marketplace Managed,4.62,196,WH-BLR,2023-04-03
SEL0022,National Mart,Fashion,Delhi,Seller Fulfilled,3.46,758,WH-MUM,2023-10-31
